LagerNr	MatNr	Werk	Lagerort	Jahr	Monat	Bestand
HEP	107	1100	2001	2018	04	1,000
HEP	305	1100	2001	2018	04	1,000
HEP	535	1100	2001	2018	04	12,000
HEP	2810	1100	2001	2018	04	293,000
HEP	4249	1100	2001	2018	04	3,000
HEP	5001	1100	2001	2018	04	2,000
HEP	5002	1100	2001	2018	04	24,000
HEP	5003	1100	2001	2018	04	13,000
HEP	5006	1100	2001	2018	04	10,000
HEP	5007	1100	2001	2018	04	9,000
HEP	5008	1100	2001	2018	04	4,000
HEP	5019	1100	2001	2018	04	1,000
HEP	5026	1100	2001	2018	04	9,000
HEP	5028	1100	2001	2018	04	13,000
HEP	5048	1100	2001	2018	04	2,000
HEP	5049	1100	2001	2018	04	3,000
HEP	5050	1100	2001	2018	04	6,000
HEP	5051	1100	2001	2018	04	8,000
HEP	5053	1100	2001	2018	04	2,000
HEP	5055	1100	2001	2018	04	15,000
HEP	5056	1100	2001	2018	04	1,000
HEP	5068	1100	2001	2018	04	2,000
HEP	5281	1100	2001	2018	04	7,000
HEP	5286	1100	2001	2018	04	5,000
HEP	8195	1100	2001	2018	04	3,000
HEP	8403	1100	2001	2018	04	4,000
HEP	9004	1100	2001	2018	04	2,000
HEP	9040	1100	2001	2018	04	1,000
HEP	9065	1100	2001	2018	04	1,000
HEP	9070	1100	2001	2018	04	1,000
HEP	9207	1100	2001	2018	04	1,000
HEP	9226	1100	2001	2018	04	1,000
HEP	9227	1100	2001	2018	04	1,000
HEP	9242	1100	2001	2018	04	12,000
HEP	9506	1100	2001	2018	04	7,000
HEP	9509	1100	2001	2018	04	2,000
HEP	9935	1100	2001	2018	04	1,000
HEP	9940	1100	2001	2018	04	4,000
HEP	9976	1100	2001	2018	04	2,000
HEP	10015	1100	2001	2018	04	6,000
HEP	10016	1100	2001	2018	04	53,000
HEP	10053	1100	2001	2018	04	3,000
HEP	10078	1100	2001	2018	04	23,000
HEP	10153	1100	2001	2018	04	3,000
HEP	10167	1100	2001	2018	04	2,000
HEP	10170	1100	2001	2018	04	1,000
HEP	10174	1100	2001	2018	04	17,000
HEP	10292	1100	2001	2018	04	9,000
HEP	10333	1100	2001	2018	04	1,000
HEP	10345	1100	2001	2018	04	59,000
HEP	10346	1100	2001	2018	04	46,000
HEP	10350	1100	2001	2018	04	7,000
HEP	10587	1100	2001	2018	04	5,000
HEP	10731	1100	2001	2018	04	4,000
HEP	10732	1100	2001	2018	04	3,000
HEP	10774	1100	2001	2018	04	7,000
HEP	10775	1100	2001	2018	04	3,000
HEP	10851	1100	2001	2018	04	2,000
HEP	10896	1100	2001	2018	04	30,000
HEP	10900	1100	2001	2018	04	55,000
HEP	10906	1100	2001	2018	04	39,000
HEP	10907	1100	2001	2018	04	20,000
HEP	10909	1100	2001	2018	04	6,000
HEP	10924	1100	2001	2018	04	74,000
HEP	10935	1100	2001	2018	04	5,000
HEP	10941	1100	2001	2018	04	3,000
HEP	10977	1100	2001	2018	04	30,000
HEP	10987	1100	2001	2018	04	10,000
HEP	10992	1100	2001	2018	04	6,000
HEP	10993	1100	2001	2018	04	39,000
HEP	10994	1100	2001	2018	04	2,000
HEP	11012	1100	2001	2018	04	4,000
HEP	11172	1100	2001	2018	04	6,000
HEP	11236	1100	2001	2018	04	3,000
HEP	11251	1100	2001	2018	04	7,000
HEP	11300	1100	2001	2018	04	5,000
HEP	11569	1100	2001	2018	04	138,000
HEP	11570	1100	2001	2018	04	42,000
HEP	11628	1100	2001	2018	04	87,000
HEP	11629	1100	2001	2018	04	132,000
HEP	11898	1100	2001	2018	04	22,000
HEP	11914	1100	2001	2018	04	13,000
HEP	11915	1100	2001	2018	04	22,000
HEP	11916	1100	2001	2018	04	3,000
HEP	11917	1100	2001	2018	04	6,000
HEP	11936	1100	2001	2018	04	682,000
HEP	11946	1100	2001	2018	04	10,000
HEP	11947	1100	2001	2018	04	33,000
HEP	11948	1100	2001	2018	04	389,000
HEP	11949	1100	2001	2018	04	13,000
HEP	11963	1100	2001	2018	04	43,000
HEP	11964	1100	2001	2018	04	1,000
HEP	11975	1100	2001	2018	04	568,000
HEP	11997	1100	2001	2018	04	41,000
HEP	12004	1100	2001	2018	04	2,000
HEP	12005	1100	2001	2018	04	6,000
HEP	12015	1100	2001	2018	04	3,000
HEP	12016	1100	2001	2018	04	8,000
HEP	12030	1100	2001	2018	04	26,000
HEP	12033	1100	2001	2018	04	2,000
HEP	12038	1100	2001	2018	04	9,000
HEP	12039	1100	2001	2018	04	7,000
HEP	12040	1100	2001	2018	04	3,000
HEP	12151	1100	2001	2018	04	1,000
HEP	12177	1100	2001	2018	04	2,000
HEP	12178	1100	2001	2018	04	1,000
HEP	12180	1100	2001	2018	04	6,000
HEP	12242	1100	2001	2018	04	11,000
HEP	12267	1100	2001	2018	04	6,000
HEP	12282	1100	2001	2018	04	72,000
HEP	12286	1100	2001	2018	04	14,000
