LagerNr	Material	ST_Pack_Mg	GEB_Pack_Mg	Kann_Liegend	Pick_Reserve	ST_Breite	ST_Hoehe	ST_Laenge	GEB_Breite	GEB_Hoehe	GEB_Laenge	Conveyable	Chargenverfolgt
HEP	107	1	0	X		210,000	4,000	306,000	0,000	0,000	0,000		
HEP	305	1	0	X		48,000	4,000	167,000	0,000	0,000	0,000		
HEP	535	1	0	X		110,000	90,000	212,000	0,000	0,000	0,000		X
HEP	2810	1	300	X	Y	53,000	35,000	186,000	350,000	390,000	490,000		
HEP	4249	1	0	X		192,000	141,000	192,000	0,000	0,000	0,000		
HEP	5001	1	0	X		65,000	24,000	100,000	0,000	0,000	0,000		
HEP	5002	1	0	X		70,000	27,000	111,000	0,000	0,000	0,000		
HEP	5003	1	0	X		71,000	27,000	110,000	0,000	0,000	0,000		
HEP	5006	1	0	X		57,000	24,000	100,000	0,000	0,000	0,000		
HEP	5007	1	0	X		65,000	24,000	100,000	0,000	0,000	0,000		
HEP	5008	1	0	X		70,000	27,000	104,000	0,000	0,000	0,000		
HEP	5019	1	0	X		66,000	29,000	93,000	0,000	0,000	0,000		
HEP	5026	1	0	X		35,000	22,000	99,000	0,000	0,000	0,000		
HEP	5028	1	0	X		33,000	19,000	90,000	0,000	0,000	0,000		
HEP	5048	1	0	X		65,000	12,000	90,000	0,000	0,000	0,000		
HEP	5049	1	0	X		73,000	24,000	100,000	0,000	0,000	0,000		
HEP	5050	1	0	X		70,000	24,000	106,000	0,000	0,000	0,000		
HEP	5051	1	0	X		73,000	27,000	111,000	0,000	0,000	0,000		
HEP	5053	1	0	X		61,000	24,000	89,000	0,000	0,000	0,000		
HEP	5055	1	0	X		73,000	24,000	103,000	0,000	0,000	0,000		
HEP	5056	1	0	X		80,000	27,000	102,000	0,000	0,000	0,000		
HEP	5068	1	0	X		95,000	40,000	76,000	0,000	0,000	0,000		
HEP	5281	1	5	X	Y	217,000	118,000	331,000	340,000	590,000	235,000		
HEP	5286	1	5	X	Y	210,000	118,000	332,000	340,000	590,000	235,000		
HEP	8195	1	0	X		50,000	50,000	220,000	0,000	0,000	0,000		
HEP	8403	1	0	X		106,000	4,000	153,000	0,000	0,000	0,000		
HEP	9004	1	0			23,000	4,000	25,000	0,000	0,000	0,000		
HEP	9040	1	0	X		23,000	4,000	25,000	0,000	0,000	0,000		
HEP	9065	1	0			23,000	4,000	25,000	0,000	0,000	0,000		
HEP	9070	1	0	X		18,000	4,000	30,000	0,000	0,000	0,000		
HEP	9226	1	0	X		24,000	9,000	28,000	0,000	0,000	0,000		
HEP	9227	1	0	X		24,000	9,000	28,000	0,000	0,000	0,000		
HEP	9242	1	0	X		24,000	9,000	28,000	0,000	0,000	0,000		
HEP	9506	1	0	X		23,000	5,000	25,000	0,000	0,000	0,000		
HEP	9509	1	0	X		23,000	5,000	25,000	0,000	0,000	0,000		
HEP	9935	1	0	X		25,000	4,000	45,000	0,000	0,000	0,000		
HEP	9940	1	0			25,000	4,000	45,000	0,000	0,000	0,000		
HEP	9976	1	0	X		22,000	5,000	39,000	0,000	0,000	0,000		
HEP	10015	1	0	X		119,000	60,000	172,000	0,000	0,000	0,000		X
HEP	10016	1	20	X	Y	117,000	57,000	171,000	300,000	250,000	350,000		X
HEP	10053	1	0			45,000	45,000	185,000	0,000	0,000	0,000		X
HEP	10078	1	0			55,000	55,000	105,000	0,000	0,000	0,000		X
HEP	10153	1	0	X		27,000	4,000	29,000	0,000	0,000	0,000		
HEP	10167	1	0	X		70,000	22,000	199,000	0,000	0,000	0,000		
HEP	10170	1	0			60,000	27,000	79,000	0,000	0,000	0,000		
HEP	10174	1	0	X		182,000	146,000	220,000	0,000	0,000	0,000		X
HEP	10292	1	0	X		122,000	122,000	185,000	0,000	0,000	0,000		
HEP	10333	1	0	X		126,000	103,000	80,000	0,000	0,000	0,000		
HEP	10345	1	0	X		139,000	85,000	259,000	0,000	0,000	0,000		
HEP	10346	1	0	X		125,000	80,000	260,000	0,000	0,000	0,000		
HEP	10350	1	0	X		49,000	36,000	94,000	0,000	0,000	0,000		
HEP	10587	1	0			29,000	78,000	32,000	0,000	0,000	0,000		
HEP	10731	1	0			236,000	170,000	313,000	0,000	0,000	0,000		
HEP	10732	1	0			229,000	174,000	322,000	0,000	0,000	0,000		
HEP	10774	1	0	X		65,000	42,000	96,000	0,000	0,000	0,000		
HEP	10775	1	0			128,000	60,000	174,000	0,000	0,000	0,000		
HEP	10851	1	0	X		40,000	34,000	146,000	0,000	0,000	0,000		
HEP	10896	1	0	X		98,000	62,000	92,000	0,000	0,000	0,000		
HEP	10899	1	0	X		253,000	95,000	355,000	0,000	0,000	0,000		
HEP	10900	1	0	X		73,000	17,000	222,000	0,000	0,000	0,000		
HEP	10906	1	40	X	Y	210,000	37,000	295,000	398,000	320,000	790,000		
HEP	10907	1	20	X	Y	210,000	37,000	299,000	399,000	325,000	500,000		
HEP	10909	1	40	X	Y	210,000	37,000	301,000	399,000	319,000	788,000		
HEP	10911	1	0	X		245,000	55,000	245,000	0,000	0,000	0,000		
HEP	10924	1	110	X	Y	75,000	75,000	100,000	570,000	430,000	420,000		
HEP	10935	1	0	X		111,000	60,000	109,000	0,000	0,000	0,000		
HEP	10941	1	0	X		113,000	65,000	185,000	0,000	0,000	0,000		
HEP	10977	1	0	X		37,000	32,000	84,000	0,000	0,000	0,000		
HEP	10987	1	0	X		131,000	22,000	125,000	0,000	0,000	0,000		
HEP	10992	1	0	X		47,000	47,000	92,000	0,000	0,000	0,000		X
HEP	10993	1	0			350,000	340,000	410,000	0,000	0,000	0,000		
HEP	10994	1	0	X		47,000	47,000	93,000	0,000	0,000	0,000		X
HEP	11012	1	0	X		52,000	52,000	93,000	0,000	0,000	0,000		X
HEP	11172	1	0	X		60,000	19,000	175,000	0,000	0,000	0,000		
HEP	11236	1	0	X		146,000	24,000	107,000	0,000	0,000	0,000		
HEP	11251	1	0	X		25,000	4,000	35,000	0,000	0,000	0,000		
HEP	11300	1	0	X		146,000	24,000	114,000	0,000	0,000	0,000		
HEP	11569	1	96	X	Y	50,000	50,000	111,000	320,000	260,000	420,000		
HEP	11570	1	96	X	Y	46,000	101,000	47,000	320,000	260,000	420,000		
HEP	11628	1	96	X	Y	70,000	106,000	52,000	320,000	260,000	420,000		
HEP	11629	1	96	X	Y	50,000	50,000	111,000	320,000	260,000	420,000		
HEP	11898	1	0	X		23,000	4,000	25,000	0,000	0,000	0,000		
HEP	11914	1	0	X		14,000	60,000	92,000	0,000	0,000	0,000		
HEP	11915	1	0	X		80,000	18,000	90,000	0,000	0,000	0,000		
HEP	11916	1	0	X		57,000	27,000	90,000	0,000	0,000	0,000		
HEP	11917	1	0	X		80,000	24,000	60,000	0,000	0,000	0,000		
HEP	11936	1	0	X		150,000	3,000	210,000	0,000	0,000	0,000		
HEP	11946	1	0	X		149,000	5,000	213,000	0,000	0,000	0,000		
HEP	11947	1	0	X		85,000	30,000	81,000	0,000	0,000	0,000		X
HEP	11948	1	0	X		93,000	22,000	152,000	0,000	0,000	0,000		
HEP	11949	1	0	X		80,000	7,000	127,000	0,000	0,000	0,000		
HEP	11963	1	0	X		91,000	78,000	309,000	0,000	0,000	0,000		
HEP	11964	1	0	X		93,000	80,000	313,000	0,000	0,000	0,000		
HEP	11975	1	0	X		210,000	37,000	300,000	0,000	0,000	0,000		
HEP	11978	1	0	X		239,000	25,000	239,000	0,000	0,000	0,000		
HEP	11997	1	0	X		35,000	10,000	180,000	0,000	0,000	0,000		
HEP	12004	1	6	X	Y	159,000	263,000	274,000	290,000	430,000	515,000		X
HEP	12005	1	0	X		159,000	263,000	272,000	0,000	0,000	0,000		X
HEP	12015	1	0			189,000	243,000	149,000	0,000	0,000	0,000		X
HEP	12016	1	0			200,000	306,000	236,000	0,000	0,000	0,000		X
HEP	12030	1	0	X		131,000	70,000	231,000	0,000	0,000	0,000		X
HEP	12038	1	0	X		90,000	70,000	290,000	0,000	0,000	0,000		
HEP	12039	1	0	X		130,000	68,000	340,000	0,000	0,000	0,000		
HEP	12040	1	0	X		134,000	62,000	263,000	0,000	0,000	0,000		
HEP	12151	1	0	X		50,000	42,000	198,000	0,000	0,000	0,000		
HEP	12177	1	0			68,000	4,000	64,000	0,000	0,000	0,000		
HEP	12180	1	0	X		70,000	4,000	70,000	0,000	0,000	0,000		
HEP	12242	1	0	X		103,000	14,000	126,000	0,000	0,000	0,000		X
HEP	12267	1	0	X		263,000	121,000	460,000	0,000	0,000	0,000		X
HEP	12282	1	20	X	Y	169,000	113,000	255,000	310,000	330,000	450,000		
HEP	12286	1	0	X		115,000	63,000	140,000	0,000	0,000	0,000		X
HEP	12391	1	0	X		98,000	40,000	183,000	0,000	0,000	0,000		X
HEP	12406	1	0	X		205,000	68,000	262,000	0,000	0,000	0,000		
HEP	12445	1	0	X		174,000	111,000	241,000	0,000	0,000	0,000		
HEP	12458	1	50	X	Y	141,000	141,000	260,000	390,000	410,000	590,000		
HEP	12470	1	0	X		154,000	40,000	307,000	0,000	0,000	0,000		
HEP	12524	1	0			253,000	57,000	350,000	0,000	0,000	0,000		
HEP	12551	1	0	X		156,000	263,000	281,000	0,000	0,000	0,000		X
HEP	12552	1	0	X		156,000	263,000	279,000	0,000	0,000	0,000		X
HEP	12553	1	0	X		156,000	263,000	274,000	0,000	0,000	0,000		X
HEP	12576	1	0	X		68,000	65,000	110,000	0,000	0,000	0,000		
HEP	12639	1	0	X		88,000	45,000	287,000	0,000	0,000	0,000		
HEP	12675	1	5	X	Y	355,000	106,000	531,000	0,000	0,000	0,000		
HEP	12720	1	0	X		45,000	17,000	59,000	0,000	0,000	0,000		
HEP	12726	1	0	X		184,000	45,000	271,000	0,000	0,000	0,000		X
HEP	12742	1	0	X		113,000	144,000	135,000	0,000	0,000	0,000		
HEP	12755	1	0	X		47,000	47,000	92,000	0,000	0,000	0,000		X
HEP	12756	1	0	X		47,000	50,000	92,000	0,000	0,000	0,000		X
HEP	12757	1	0	X		47,000	47,000	92,000	0,000	0,000	0,000		X
HEP	12760	1	0	X		47,000	47,000	88,000	0,000	0,000	0,000		X
HEP	12761	1	0	X		47,000	47,000	93,000	0,000	0,000	0,000		X
HEP	12762	1	0	X		47,000	47,000	92,000	0,000	0,000	0,000		X
HEP	12774	1	0	X		141,000	141,000	187,000	0,000	0,000	0,000		
HEP	12787	1	0	X		271,000	108,000	420,000	0,000	0,000	0,000		
HEP	12810	1	0	X		190,000	30,000	350,000	0,000	0,000	0,000		
HEP	12821	1	10	X	Y	74,000	60,000	261,000	270,000	170,000	310,000		
HEP	12827	1	0	X		207,000	55,000	440,000	0,000	0,000	0,000		
HEP	12829	1	0	X		203,000	52,000	420,000	0,000	0,000	0,000		
HEP	12870	1	10	X	Y	286,000	57,000	328,000	370,000	330,000	510,000		
HEP	12877	1	0	X		250,000	250,000	260,000	0,000	0,000	0,000		
HEP	12907	1	0			225,000	172,000	312,000	0,000	0,000	0,000		
